7zip 25.01-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
ark 25.08.2-1
atuin 18.10.0-1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bluez 5.84-1
bluez-utils 5.84-1
cmake 4.1.2-1
cups 2:2.4.14-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
dkms 3.2.2-1
docker 1:28.5.1-1
docker-compose 2.40.2-1
dolphin 25.08.2-1
dosfstools 4.2-5
dotnet-sdk 9.0.9.sdk110-1
efibootmgr 18-3
exfatprogs 1.3.0-1
ffmpegthumbs 25.08.2-1
filezilla 3.69.3-1
firefox 144.0-1
firewalld 2.3.1-1
gameconqueror 0.17-10
gamemode 1.8.2-1
gimp 3.0.6-2
git 2.51.1-2
github-cli 2.82.1-1
go 2:1.25.3-1
gst-plugin-pipewire 1:1.4.9-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceviewmm 1:3.91.1-1
gwenview 25.08.2-5
hplip 1:3.25.6-1
htop 3.4.1-1
hunspell-en_us 2020.12.07-5
inetutils 2.6-1
intel-media-driver 25.3.4-1
intel-ucode 20250812-1
iwd 3.10-1
kate 25.08.2-1
kde-graphics-meta 25.08-1
kde-network-meta 25.08-1
kde-sdk-meta 25.08-1
kde-system-meta 25.08-1
kde-utilities-meta 25.08-1
kdegraphics-thumbnailers 25.08.2-1
kimageformats 6.19.0-1
konsole 25.08.2-1
lesspipe 2.17-1
lib32-gamemode 1.8.2-1
lib32-vulkan-intel 1:25.2.5-2
libpulse 17.0+r88+geee0e8f22-1
libreoffice-fresh 25.8.2-4
libva-intel-driver 2.4.1-5
libva-nvidia-driver 0.0.14-1
linux 6.17.5.arch1-1
linux-firmware 20251021-1
linux-headers 6.17.5.arch1-1
nano 8.6-1
ncdu 2.9.1-2
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
networkmanager-openvpn 1.12.3-1
nikto 2.5.0-1
nmap 7.98-3
noto-fonts-cjk 20240730-1
ntfs-3g 2022.10.3-2
nvidia-open-dkms 580.95.05-1
okteta 1:0.26.24-1
ollama-cuda 0.12.6-2
openrazer-daemon 3.10.3-1
openrazer-driver-dkms 3.10.3-1
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
otf-firamono-nerd 3.4.0-1
otf-geist-mono-nerd 3.4.0-1
otf-hasklig-nerd 3.4.0-1
otf-hermit-nerd 3.4.0-1
otf-monaspace-nerd 3.4.0-1
otf-opendyslexic-nerd 3.4.0-1
otf-overpass-nerd 3.4.0-1
packagekit-qt6 1.1.4-1
pacman-contrib 1.13.0-1
php 8.4.14-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
pkgfile 25-1
plasma-meta 6.5-1
plasma-workspace 6.5.0-1
plymouth 24.004.60-11
plymouth-kcm 6.5.0-1
python-babel 2.17.0-1
python-numpy 2.3.4-1
python-pillow 12.0.0-1
python-pyserial 3.5-7
python-yaml 6.0.3-1
qt5-graphicaleffects 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qtcreator 17.0.2-3
reflector 2023-3
rsync 3.4.1-2
smartmontools 7.5-1
sof-firmware 2025.05.1-1
starship 1.24.0-1
steam 1.0.0.85-1
system-config-printer 1.5.18-5
system76-firmware 1.0.74-2
system76-scheduler 2.0.2-2
systray-x-kde 0.9.11-4
thunderbird 144.0.1-1
tk 8.6.16-1
ttf-0xproto-nerd 3.4.0-1
ttf-3270-nerd 3.4.0-1
ttf-agave-nerd 3.4.0-1
ttf-anonymouspro-nerd 3.4.0-1
ttf-arimo-nerd 3.4.0-1
ttf-bigblueterminal-nerd 3.4.0-1
ttf-bitstream-vera-mono-nerd 3.4.0-1
ttf-cascadia-code-nerd 3.4.0-1
ttf-cascadia-mono-nerd 3.4.0-1
ttf-cousine-nerd 3.4.0-1
ttf-d2coding-nerd 3.4.0-1
ttf-daddytime-mono-nerd 3.4.0-1
ttf-dejavu-nerd 3.4.0-1
ttf-envycoder-nerd 3.4.0-1
ttf-fantasque-nerd 3.4.0-1
ttf-firacode-nerd 3.4.0-1
ttf-go-nerd 3.4.0-1
ttf-gohu-nerd 3.4.0-1
ttf-hack-nerd 3.4.0-1
ttf-heavydata-nerd 3.4.0-1
ttf-iawriter-nerd 3.4.0-1
ttf-ibmplex-mono-nerd 3.4.0-1
ttf-inconsolata-go-nerd 3.4.0-1
ttf-inconsolata-lgc-nerd 3.4.0-1
ttf-inconsolata-nerd 3.4.0-1
ttf-intone-nerd 3.4.0-1
ttf-iosevka-nerd 3.4.0-1
ttf-iosevkaterm-nerd 3.4.0-1
ttf-iosevkatermslab-nerd 3.4.0-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-lekton-nerd 3.4.0-1
ttf-liberation-mono-nerd 3.4.0-1
ttf-lilex-nerd 3.4.0-1
ttf-martian-mono-nerd 3.4.0-1
ttf-meslo-nerd 3.4.0-1
ttf-monofur-nerd 3.4.0-1
ttf-monoid-nerd 3.4.0-1
ttf-mononoki-nerd 3.4.0-1
ttf-mplus-nerd 3.4.0-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-noto-nerd 3.4.0-1
ttf-profont-nerd 3.4.0-1
ttf-proggyclean-nerd 3.4.0-1
ttf-recursive-nerd 3.4.0-1
ttf-roboto-mono-nerd 3.4.0-1
ttf-sharetech-mono-nerd 3.4.0-1
ttf-sourcecodepro-nerd 3.4.0-1
ttf-space-mono-nerd 3.4.0-1
ttf-terminus-nerd 3.4.0-1
ttf-tinos-nerd 3.4.0-1
ttf-ubuntu-mono-nerd 3.4.0-1
ttf-ubuntu-nerd 3.4.0-1
ttf-victor-mono-nerd 3.4.0-1
ttf-zed-mono-nerd 3.4.0-1
unarj 2.65-2
unrar 1:7.1.10-1
unzip 6.0-23
vim 9.1.1841-1
virt-manager 5.1.0-1
vlc 3.0.21-30
vulkan-intel 1:25.2.5-2
webkitgtk-6.0 2.50.1-1
wget 1.25.0-2
wireless_tools 30.pre9-4
wireplumber 0.5.12-1
xdg-utils 1.2.1-1
xorg-xinit 1.4.4-1
zip 3.0-11
zram-generator 1.2.1-1
